split	gate_type	confidence_threshold	margin_threshold	total_count	overall_accuracy_no_abstain	macro_f1_no_abstain	runtime_emitted_count	runtime_correct_count	runtime_high_conf_precision	runtime_high_conf_coverage	runtime_abstain_count	runtime_abstain_rate	accepted_accuracy	accepted_macro_f1	all_accepted_count	report_only_accepted_count	margin_available	meets_target_precision
heldout	combined_confidence_margin	0.75	0.05	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.10	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.15	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.20	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.25	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.30	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.35	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.40	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.45	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.75	0.50	11123	0.8269	0.8097	8263	7557	0.9146	0.7429	2860	0.2571	0.9146	0.9021	8263	0	true	true
heldout	combined_confidence_margin	0.80	0.00	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.05	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.10	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.15	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.20	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.25	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
heldout	combined_confidence_margin	0.80	0.30	11123	0.8269	0.8097	7736	7172	0.9271	0.6955	3387	0.3045	0.9271	0.9153	7736	0	true	true
